game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,comp_raw,comp_reliability,comp_z,comp_pctile,comp_tier
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,away,Braxton Ashcraft,Washington Nationals,9,0.274,0.327,0.318,0.282,-0.036,0.219,0.254,0.245,0.227,-0.018,0.34,0.422,0.4,0.359,-0.041,40.1,39.132,39.497,39.729,0.232,90.1,89.062,88.996,90.166,1.17,12.8,13.637,13.974,12.463,-1.511,27.6,19.457,22.092,24.308,2.216,5.5,8.281,9.023,5.048,-3.975,-0.44,0.819,-0.36,41.0,negligible
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,home,Zack Littell,Pittsburgh Pirates,9,0.39,0.32,0.318,0.392,0.074,0.297,0.25,0.245,0.303,0.058,0.555,0.398,0.4,0.552,0.152,46.7,39.954,39.497,47.24,7.743,92.5,88.578,88.996,92.082,3.086,19.7,10.538,13.974,16.264,2.29,14.1,23.176,22.092,14.792,-7.3,7.2,8.702,9.023,6.944,-2.079,1.598,0.819,1.309,90.0,strong
822882,2026-07-04,Detroit Tigers @ Texas Rangers,away,Jack Flaherty,Texas Rangers,9,0.324,0.327,0.318,0.333,0.015,0.238,0.256,0.245,0.249,0.004,0.391,0.406,0.4,0.397,-0.003,47.2,43.331,39.497,51.782,12.285,90.9,89.876,88.996,91.78,2.784,22.1,12.544,13.974,20.67,6.696,26.7,21.348,22.092,25.801,3.709,11.3,9.13,9.023,11.434,2.411,0.451,0.767,0.346,38.0,negligible
822882,2026-07-04,Detroit Tigers @ Texas Rangers,home,Kumar Rocker,Detroit Tigers,9,0.328,0.333,0.318,0.343,0.025,0.262,0.253,0.245,0.271,0.026,0.416,0.43,0.4,0.447,0.047,42.7,41.324,39.497,44.675,5.178,89.4,88.985,88.996,89.389,0.393,10.7,17.592,13.974,14.318,0.344,20.3,21.818,22.092,20.048,-2.044,9.0,9.409,9.023,9.385,0.362,0.544,0.801,0.436,52.0,slight
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,away,Shane Bieber,Seattle Mariners,9,0.542,0.332,0.318,0.566,0.248,0.415,0.252,0.245,0.427,0.182,0.831,0.418,0.4,0.868,0.468,60.6,39.921,39.497,61.251,21.754,94.5,89.248,88.996,94.752,5.756,18.9,14.048,13.974,18.974,5.0,14.0,22.021,22.092,13.955,-8.137,9.3,9.168,9.023,9.449,0.426,4.528,0.355,1.607,100.0,strong
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,home,Logan Gilbert,Toronto Blue Jays,9,0.305,0.305,0.318,0.293,-0.025,0.24,0.255,0.245,0.25,0.005,0.406,0.378,0.4,0.384,-0.016,44.3,35.061,39.497,39.325,-0.172,90.6,87.855,88.996,89.459,0.463,18.1,13.156,13.974,17.282,3.308,27.0,18.072,22.092,22.087,-0.005,5.6,7.168,9.023,4.449,-4.574,-0.259,0.814,-0.211,28.0,negligible
823526,2026-07-04,Minnesota Twins @ New York Yankees,away,Zebby Matthews,New York Yankees,9,0.32,0.327,0.318,0.329,0.011,0.244,0.246,0.245,0.245,-0.0,0.455,0.418,0.4,0.475,0.075,37.9,40.123,39.497,38.501,-0.996,90.1,89.172,88.996,90.276,1.28,16.3,15.298,13.974,17.624,3.65,20.1,21.991,22.092,20.008,-2.084,5.2,10.383,9.023,5.984,-3.039,0.391,0.738,0.289,31.0,negligible
823526,2026-07-04,Minnesota Twins @ New York Yankees,home,Brendan Beck,Minnesota Twins,9,0.481,0.32,0.318,0.484,0.166,0.365,0.244,0.245,0.364,0.119,0.618,0.405,0.4,0.626,0.226,77.8,37.507,39.497,73.88,34.383,97.8,88.572,88.996,97.376,8.38,24.7,15.697,13.974,26.423,12.449,7.7,19.722,22.092,6.874,-15.218,23.1,8.7,9.023,22.273,13.25,3.706,0.13,0.483,59.0,slight
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,away,Griffin Canning,Los Angeles Dodgers,9,0.345,0.356,0.318,0.386,0.068,0.254,0.269,0.245,0.279,0.034,0.42,0.462,0.4,0.485,0.085,48.9,44.246,39.497,54.78,15.283,91.1,90.285,88.996,92.389,3.393,9.6,14.914,13.974,10.54,-3.434,21.8,20.95,22.092,20.673,-1.419,13.3,10.872,9.023,16.025,7.002,1.404,0.692,0.972,83.0,notable
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,home,Yoshinobu Yamamoto,San Diego Padres,9,0.293,0.323,0.318,0.298,-0.02,0.241,0.253,0.245,0.249,0.004,0.385,0.408,0.4,0.393,-0.007,36.4,43.117,39.497,39.736,0.239,88.2,89.514,88.996,88.718,-0.278,8.1,9.448,13.974,3.574,-10.4,24.1,21.144,22.092,23.066,0.974,5.1,8.779,9.023,4.962,-4.061,-0.239,0.813,-0.194,24.0,negligible
