game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822713,2026-07-07,Houston Astros @ Washington Nationals,away,Tatsuya Imai,R,Washington Nationals,9,5,2,2,7,0,83,False,True,0.8,0.799,0.775,0.77,0.805,0.056
822713,2026-07-07,Houston Astros @ Washington Nationals,home,Andrew Alvarez,L,Houston Astros,9,1,8,0,8,2,50,False,True,0.735,0.752,0.714,0.734,0.729,-0.02
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,away,José Soriano,R,Texas Rangers,9,6,3,0,6,0,193,False,True,0.718,0.73,0.69,0.696,0.667,-0.082
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,home,Jacob deGrom,R,Los Angeles Angels,9,3,6,0,3,0,152,False,True,0.686,0.694,0.633,0.644,0.608,-0.141
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,away,Will Warren,R,Tampa Bay Rays,9,6,2,1,7,0,181,False,True,0.773,0.774,0.725,0.737,0.747,-0.002
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,home,Ian Seymour,L,New York Yankees,9,4,5,0,5,2,92,False,True,0.798,0.773,0.662,0.675,0.716,-0.033
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Robert Gasser,L,St. Louis Cardinals,9,3,6,0,6,1,48,True,False,0.763,0.759,0.797,0.765,0.781,0.032
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Hunter Dobbins,R,Milwaukee Brewers,9,5,4,0,5,0,33,True,False,0.795,0.788,0.77,0.759,0.797,0.048
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Jacob Misiorowski,R,St. Louis Cardinals,9,5,4,0,5,0,193,False,True,0.786,0.78,0.444,0.491,0.521,-0.228
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Matt Svanson,R,Milwaukee Brewers,9,5,4,0,5,0,89,False,True,0.804,0.799,0.782,0.777,0.814,0.065
823203,2026-07-07,Toronto Blue Jays @ San Francisco Giants,away,Spencer Miles,R,San Francisco Giants,9,5,4,0,5,2,107,False,True,0.805,0.797,0.546,0.607,0.645,-0.104
823203,2026-07-07,Toronto Blue Jays @ San Francisco Giants,home,Trevor McDonald,R,Toronto Blue Jays,9,4,4,1,5,0,111,False,True,0.716,0.719,0.672,0.697,0.655,-0.094
823280,2026-07-07,Arizona Diamondbacks @ San Diego Padres,away,Zac Gallen,R,San Diego Padres,9,4,5,0,4,0,191,False,True,0.693,0.696,0.869,0.847,0.793,0.044
823280,2026-07-07,Arizona Diamondbacks @ San Diego Padres,home,Germán Márquez,R,Arizona Diamondbacks,9,3,4,2,5,1,60,False,True,0.725,0.745,0.861,0.817,0.813,0.064
823361,2026-07-07,Atlanta Braves @ Pittsburgh Pirates,away,Hurston Waldrep,R,Pittsburgh Pirates,9,3,4,2,5,0,16,True,False,0.801,0.793,0.74,0.748,0.784,0.035
823361,2026-07-07,Atlanta Braves @ Pittsburgh Pirates,home,Paul Skenes,R,Atlanta Braves,9,6,2,1,7,1,163,False,True,0.765,0.768,0.63,0.654,0.656,-0.093
823607,2026-07-07,Kansas City Royals @ New York Mets,away,Seth Lugo,R,New York Mets,9,5,2,2,7,0,142,False,True,0.727,0.735,0.797,0.796,0.764,0.015
823607,2026-07-07,Kansas City Royals @ New York Mets,home,Cionel Pérez,L,Kansas City Royals,9,3,5,1,6,0,67,False,True,0.763,0.746,0.765,0.753,0.753,0.004
823687,2026-07-07,Cleveland Guardians @ Minnesota Twins,away,Joey Cantillo,L,Minnesota Twins,9,1,5,3,8,1,96,False,True,0.664,0.71,0.741,0.744,0.694,-0.055
823687,2026-07-07,Cleveland Guardians @ Minnesota Twins,home,Taj Bradley,R,Cleveland Guardians,9,6,1,2,8,0,160,False,True,0.695,0.708,0.706,0.721,0.659,-0.09
823847,2026-07-07,Seattle Mariners @ Miami Marlins,away,Bryan Woo,R,Miami Marlins,9,6,2,1,7,0,171,False,True,0.784,0.783,0.634,0.651,0.664,-0.085
823847,2026-07-07,Seattle Mariners @ Miami Marlins,home,Max Meyer,R,Seattle Mariners,9,6,2,1,7,0,187,False,True,0.748,0.753,0.614,0.642,0.63,-0.119
823929,2026-07-07,Colorado Rockies @ Los Angeles Dodgers,away,Michael Lorenzen,R,Los Angeles Dodgers,9,5,2,2,7,0,199,False,True,0.822,0.823,1.001,0.948,1.021,0.272
823929,2026-07-07,Colorado Rockies @ Los Angeles Dodgers,home,Justin Wrobleski,L,Colorado Rockies,9,2,5,2,7,0,88,False,True,0.767,0.774,0.583,0.604,0.615,-0.134
824254,2026-07-07,Athletics @ Detroit Tigers,away,J.T. Ginn,R,Detroit Tigers,9,6,3,0,6,0,157,False,True,0.747,0.755,0.667,0.684,0.679,-0.07
824254,2026-07-07,Athletics @ Detroit Tigers,home,Tarik Skubal,L,Athletics,9,1,7,1,8,1,63,False,True,0.848,0.812,0.597,0.642,0.697,-0.052
824495,2026-07-07,Philadelphia Phillies @ Cincinnati Reds,away,Zack Wheeler,R,Cincinnati Reds,9,3,5,1,4,0,120,False,True,0.708,0.715,0.574,0.613,0.589,-0.16
824495,2026-07-07,Philadelphia Phillies @ Cincinnati Reds,home,Andrew Abbott,L,Philadelphia Phillies,9,4,5,0,5,0,112,False,True,0.695,0.717,0.735,0.732,0.712,-0.037
